,title,media,date,desc
103,"Lava Jato prendeu Lula, apoiou eleição de Bolsonaro e integrou governo, diz Gilmar Mendes",BBC,17/17/2021,"BBC News Brasil - Agora, para além da discussão dos métodos, existem  evidências que mostram a existência de um grande esquema de corrupção na  Petrobras com..."
104,Correção: Refinaria da Petrobras no PR registrou incêndio na ...,ISTOÉ DINHEIRO,18/18/2021,"A Refinaria Presidente Getúlio Vargas (Repar), unidade da Petrobras  localizada em Araucária (PR), registrou um princípio de incêndio na  madrugada do último..."
105,É falso que Bolívia não pagou por refinarias da Petrobras que ...,Lupa,18/18/2021,"A justificativa foi de que a Petrobras havia lucrado US$ 320 milhões acima  do que a lei boliviana permitia. Quando adquiriu as duas unidades, em 1999,  a..."
106,Qual é a solução para reduzir o preço da gasolina? Confira análise de especialistas,Diario do Nordeste,18/18/2021,"A Petrobras já operou, este ano, três reajustes no preço da gasolina  vendida nas refinarias e o preço ao consumidor teve sucessivas altas nas  últimas semanas."
107,Petróleo em alta deve elevar ainda mais os preços de combustíveis,Correio Braziliense,18/18/2021,As duas variáveis compõem a política de preços da Petrobras. Como as  mudanças nos impostos propostas pelo governo federal podem não ter efeito  na redução de...
108,Ações da Embraer saltam 14% após fala de CEO da Lufthansa; PetroRio dispara quase 10% e Petrobras avança 4%,InfoMoney,18/18/2021,"Os ratings da Petrobras são ligados aos ratings soberanos do Brasil, por  causa da grande participação do governo na companhia e seu controle  potencial, bem como..."
109,Roraima é um dos cinco estados com o botijão mais caro do ...,Folha de Boa Vista,18/18/2021,"Em janeiro, a Petrobras anunciou que vai elevar em 6% o preço do gás  liquefeito de petróleo (GLP), conhecido como gás de cozinha."
110,Lava-Jato teve 150 investigações arquivadas por falta de provas,Valor Econômico,18/18/2021,Investigação que cercou esquema de corrupção na Petrobras conduziu  apurações que não chegaram a resultados. Por André Guilherme Vieira — De  São Paulo.
111,TCU e o diálogo competitivo na nova Lei de Licitações,JOTA,18/18/2021,"Nestor Cerveró, ex-diretor da Petrobras, foi condenado no TCU pela compra  da refinaria de Pasadena. Foto: (Wilson Dias/ Agência Brasil)."
112,ConJur - Ao menos 150 investigações lavajatistas foram ...,Consultor Jurídico,18/18/2021,... teve quase tantas derrotas quanto vitórias no Supremo Tribunal Federal  desde que a investigação de corrupção na Petrobras foi deflagrada em 2014.
113,Extinção de fábrica de chips do governo deve gerar economia de R$ 70 mi,Exame,18/18/2021,"Em acerto com Congresso, Economia dá sinal verde a bolsa-caminhoneiro. Teto  do ICMS e demissão na Petrobras são destaques da semana. Brasil."
114,Bolsonaro zera imposto federal do diesel e ameaça ...,UOL Economia,19/19/2021,"Após novo reajuste da Petrobras, o presidente Jair Bolsonaro anunciou nesta  quinta-feira, 18, que a partir de 1º de março não haverá qualquer imposto..."
115,Bolsonaro critica Petrobras após reajuste de combustíveis e diz que “alguma coisa vai acontecer nos próximos dias”,InfoMoney,19/19/2021,"SÃO PAULO – Após a Petrobras (PETR3; PETR4) anunciar na manhã desta  quinta-feira (18) um novo reajuste no preço da gasolina e do diesel, o  presidente Jair..."
